Video Name,Scenario Level 1,Scenario Level 2,Source
00936.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00937.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00938.mp4,Other,Add Comment,R1_R2_Match
00940.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00942.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00943.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00944.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00945.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00947.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00948.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00949.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00955.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00957.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00958.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00959.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00960.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00963.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00966.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00967.mp4,Turning at intersection,Other vehicle approaching from side,R1_R2_Match
00968.mp4,Straight at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00971.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00972.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00973.mp4,Other,Add Comment,R1_R2_Match
00976.mp4,Turning at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00977.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00978.mp4,Straight at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00980.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00981.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00982.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00983.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00985.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00986.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00989.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00990.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00996.mp4,Driving in Lane,PV cut-out,R1_R2_Match
00997.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01002.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01008.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01011.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
01012.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01013.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01019.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01022.mp4,Driving in Lane,PV stopped,R1_R2_Match
01024.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01028.mp4,Other,Add Comment,R1_R2_Match
01033.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01034.mp4,Driving in Lane,PV cut-in,R1_R2_Match
01039.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00003.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00005.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00006.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00013.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00014.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00015.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00016.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00018.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00019.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00023.mp4,Turning at intersection,Other vehicle approaching from side,R3_SanityCheck
00026.mp4,Driving in Lane,Other,R3_SanityCheck
00027.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00029.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00037.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00039.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00041.mp4,Driving in Lane,Other,R3_SanityCheck
00042.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00046.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00047.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00048.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00049.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00054.mp4,Turning at intersection,Other,R3_SanityCheck
00063.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00064.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00071.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00072.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00076.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00077.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00078.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00081.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00036.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00083.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00085.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00090.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00093.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00095.mp4,Driving in Lane,Other,R3_SanityCheck
00097.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00098.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00099.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00106.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00108.mp4,Other,Add Comment,R3_SanityCheck
00110.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00111.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00114.mp4,Driving in Lane,Other,R3_SanityCheck
00117.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00119.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00124.mp4,Driving in Lane,PV cut-out,R3_SanityCheck
00133.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00135.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00138.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00141.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00142.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00147.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00148.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00152.mp4,Turning at intersection,Other,R3_SanityCheck
00153.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00154.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00155.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00158.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00162.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00164.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00167.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00169.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00170.mp4,Other,Add Comment,R3_SanityCheck
00172.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00177.mp4,Turning at intersection,Other vehicle approaching from side,R3_SanityCheck
00179.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00181.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00184.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00187.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00194.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00200.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00201.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00205.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00209.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00225.mp4,Other,Add Comment,R3_SanityCheck
00228.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00235.mp4,Other,Add Comment,R3_SanityCheck
00239.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00240.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00250.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00253.mp4,Other,Add Comment,R3_SanityCheck
00256.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00260.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00262.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00263.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00265.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00269.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00276.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00282.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00283.mp4,Other,Add Comment,R3_SanityCheck
00284.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00287.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00288.mp4,Driving in Lane,Other,R3_SanityCheck
00289.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00290.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00292.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00296.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00302.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00308.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00309.mp4,Driving in Lane,Other,R3_SanityCheck
00318.mp4,Driving in Lane,Oncoming vehicle,R3_SanityCheck
00326.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00336.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00341.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00342.mp4,Driving in Lane,Other,R3_SanityCheck
00343.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00344.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00349.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00351.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00353.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00361.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00362.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00363.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00529.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00533.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00538.mp4,Driving in Lane,Other,R3_SanityCheck
00539.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00541.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00546.mp4,Driving in Lane,Other,R3_SanityCheck
00551.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00554.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00558.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00563.mp4,Driving in Lane,Other,R3_SanityCheck
00565.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00566.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00568.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00571.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00581.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00584.mp4,Leaving Lane,Other,R3_SanityCheck
00589.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00591.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00592.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00593.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00594.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00597.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00598.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00604.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00606.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00609.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00611.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00614.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00621.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00623.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00626.mp4,Other,Add Comment,R3_SanityCheck
00627.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00630.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00635.mp4,Leaving Lane,RV @ target lane,R3_SanityCheck
00636.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00638.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00643.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00645.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00648.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00650.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00651.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00652.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00656.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00659.mp4,Turning at intersection,Other vehicle approaching from side,R3_SanityCheck
00661.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00666.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00667.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00670.mp4,Leaving Lane,Object,R3_SanityCheck
00671.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00674.mp4,Driving in Lane,Other,R3_SanityCheck
00678.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00682.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00697.mp4,Leaving Lane,RV @ target lane,R3_SanityCheck
00702.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00710.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00715.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00723.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00729.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00733.mp4,Leaving Lane,Other,R3_SanityCheck
00734.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00742.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00769.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00783.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00788.mp4,Driving in Lane,Other,R3_SanityCheck
00789.mp4,Driving in Lane,Other,R3_SanityCheck
00794.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00798.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00805.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00817.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00818.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00819.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00820.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00822.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00824.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00835.mp4,Driving in Lane,Other,R3_SanityCheck
00839.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00843.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00845.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00847.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00850.mp4,Driving in Lane,Other,R3_SanityCheck
00858.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00860.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00864.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
00865.mp4,Driving in Lane,Other,R3_SanityCheck
00866.mp4,Other,Add Comment,R3_SanityCheck
00868.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00869.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00875.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00883.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00889.mp4,Driving in Lane,Other,R3_SanityCheck
00896.mp4,Other,Add Comment,R3_SanityCheck
00897.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00370.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00372.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00373.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00376.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00378.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00380.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00381.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00383.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00387.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00389.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00401.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00405.mp4,Other,Add Comment,R3_SanityCheck
00414.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00415.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00420.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00425.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00427.mp4,Other,Add Comment,R3_SanityCheck
00429.mp4,Other,Add Comment,R3_SanityCheck
00430.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00431.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00433.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00443.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00453.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00457.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00459.mp4,Driving in Lane,Other,R3_SanityCheck
00460.mp4,Other,Add Comment,R3_SanityCheck
00463.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00466.mp4,Driving in Lane,Other,R3_SanityCheck
00467.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00472.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00475.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00477.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00478.mp4,Driving in Lane,Oncoming vehicle,R3_SanityCheck
00483.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00491.mp4,Driving in Lane,PV stopped,R3_SanityCheck
00497.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00502.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00505.mp4,Leaving Lane,PV @ target lane,R3_SanityCheck
00510.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00515.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00516.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00519.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00900.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00904.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00911.mp4,Other,Add Comment,R3_SanityCheck
00913.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00917.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00921.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00930.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00932.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R3_SanityCheck
00952.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00953.mp4,Turning at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
00954.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00961.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00964.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00965.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
00970.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00979.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
00988.mp4,Driving in Lane,PV cut-out,R3_SanityCheck
00991.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
00998.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
01000.mp4,Straight at intersection,Other vehicle approaching from side,R3_SanityCheck
01003.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
01004.mp4,Driving in Lane,PV braking / slower,R3_SanityCheck
01016.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
01020.mp4,Straight at intersection,Other vehicle on the adjacent lane,R3_SanityCheck
01031.mp4,Leaving Lane,SV @ target lane,R3_SanityCheck
01035.mp4,Driving in Lane,PV cut-in,R3_SanityCheck
01036.mp4,Straight at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
01037.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_SanityCheck
00354.mp4,Turning at intersection,Other vehicle approaching from side,R3_OneRound
00357.mp4,Driving in Lane,PV cut-in,R3_OneRound
00795.mp4,Driving in Lane,PV braking / slower,R3_OneRound
00995.mp4,Turning at intersection,PV Slower / Braking / Stopped,R3_OneRound
